Profili IPE,G,h,b,tw,tf,r,A,hi,d,Ø,pmin,pmax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,,,,,,,,,,
D = 1168,1168,10,286,364,609843,40.9,10443,13410,1219686,20885,3.67,3.5,,,,,,,,,,,,,,,,,,,,,,,,
D = 1168,1168,12,342,436,728050,40.9,12467,16037,1456101,24933,3.67,2.92,,,,,,,,,,,,,,,,,,,,,,,,
D = 1168,1168,12.5,356,454,757409,40.9,12969,16690,1514818,25939,3.67,2.81,,,,,,,,,,,,,,,,,,,,,,,,
D = 1168,1168,16,455,579,960774,40.7,16452,21235,1921547,32903,3.67,2.2,,,,,,,,,,,,,,,,,,,,,,,,
D = 1168,1168,20,566,721,1188632,40.6,20353,26361,2377264,40707,3.67,1.77,,,,,,,,,,,,,,,,,,,,,,,,
D = 1168,1168,25,705,898,1466717,40.4,25115,32666,2933434,50230,3.67,1.42,,,,,,,,,,,,,,,,,,,,,,,,
D = 1219,1219,10,298,380,694014,42.7,11387,14617,1388029,22773,3.83,3.35,,,,,,,,,,,,,,,,,,,,,,,,
D = 1219,1219,12,357,455,828716,42.7,13597,17483,1657433,27193,3.83,2.8,,,,,,,,,,,,,,,,,,,,,,,,
D = 1219,1219,12.5,372,474,862181,42.7,14146,18196,1724362,28291,3.83,2.69,,,,,,,,,,,,,,,,,,,,,,,,
D = 1219,1219,16,475,605,1094091,42.5,17951,23157,2188183,35901,3.83,2.11,,,,,,,,,,,,,,,,,,,,,,,,
D = 1219,1219,20,591,753,1354155,42.4,22217,28755,2708309,44435,3.83,1.69,,,,,,,,,,,,,,,,,,,,,,,,
D = 1219,1219,25,736,938,1671873,42.2,27430,35646,3343746,54860,3.83,1.36,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrati a caldo,b ,t ,M ,A ,I ,i ,Wel ,Wpl ,It ,Ct ,Sup. est.,L per ton,,,,,,,,,,,,,,,,,,,,,,,,
,[mm] ,[mm] ,[kg/m] ,[cm2] ,[cm4] ,[cm] ,[cm3] ,[cm3] ,[cm4] ,[cm3] ,[m2/m] ,[m/t] ,,,,,,,,,,,,,,,,,,,,,,,,
,350,12.5,131,167,31527,13.7,1802,2106,48934,2654,1.37,7.62,126,,,,,,,,,,,,,,,,,,,,,,,
b = 20,20,2,1.1,1.4,0.736,0.726,0.736,0.928,1.22,1.07,0.075,912,,,,,,,,,,,,,,,,,,,,,,,,
b = 20,20,2.5,1.32,1.68,0.829,0.702,0.829,1.08,1.41,1.2,0.074,757,,,,,,,,,,,,,,,,,,,,,,,,
b = 25,25,2,1.41,1.8,1.56,0.931,1.25,1.53,2.52,1.81,0.095,709,,,,,,,,,,,,,,,,,,,,,,,,
b = 25,25,2.5,1.71,2.18,1.8,0.907,1.44,1.81,2.97,2.08,0.094,584,,,,,,,,,,,,,,,,,,,,,,,,
b = 25,25,3,2,2.54,1.99,0.883,1.59,2.05,3.35,2.3,0.092,501,,,,,,,,,,,,,,,,,,,,,,,,
b = 30,30,2,1.72,2.2,2.83,1.14,1.89,2.29,4.53,2.75,0.115,580,,,,,,,,,,,,,,,,,,,,,,,,
b = 30,30,2.5,2.11,2.68,3.32,1.11,2.21,2.73,5.4,3.22,0.114,475,,,,,,,,,,,,,,,,,,,,,,,,
b = 30,30,3,2.47,3.14,3.73,1.09,2.48,3.13,6.16,3.6,0.112,405,,,,,,,,,,,,,,,,,,,,,,,,
b = 40,40,2.5,2.89,3.68,8.53,1.52,4.26,5.14,13.6,6.22,0.154,346,,,,,,,,,,,,,,,,,,,,,,,,
b = 40,40,3,3.41,4.34,9.75,1.5,4.88,5.96,15.7,7.1,0.152,293,,,,,,,,,,,,,,,,,,,,,,,,
b = 40,40,4,4.39,5.59,11.8,1.45,5.89,7.43,19.5,8.54,0.15,228,,,,,,,,,,,,,,,,,,,,,,,,
b = 40,40,5,5.28,6.73,13.3,1.4,6.63,8.64,22.5,9.6,0.147,189,,,,,,,,,,,,,,,,,,,,,,,,
b = 50,50,2.5,3.68,4.68,17.4,1.93,6.98,8.29,27.5,10.2,0.194,272,,,,,,,,,,,,,,,,,,,,,,,,
b = 50,50,3,4.35,5.54,20.2,1.91,8.07,9.7,32.1,11.8,0.192,230,,,,,,,,,,,,,,,,,,,,,,,,
b = 50,50,4,5.64,7.19,24.9,1.86,9.96,12.3,40.4,14.5,0.19,177,,,,,,,,,,,,,,,,,,,,,,,,
b = 50,50,5,6.85,8.73,28.8,1.81,11.5,14.5,47.6,16.7,0.187,146,,,,,,,,,,,,,,,,,,,,,,,,
b = 50,50,6,7.99,10.2,31.8,1.77,12.7,16.4,53.6,18.4,0.185,125,,,,,,,,,,,,,,,,,,,,,,,,
b = 50,50,6.3,8.31,10.6,32.5,1.75,13,17,55.2,18.8,0.184,120,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,2.5,4.46,5.68,31.1,2.34,10.4,12.2,48.5,15.2,0.234,224,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,3,5.29,6.74,36.2,2.32,12.1,14.3,56.9,17.7,0.232,189,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,4,6.9,8.79,45.3,2.27,15.1,18.3,72.5,22,0.23,145,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,5,8.42,10.7,53.1,2.22,17.7,21.9,86.4,25.7,0.227,119,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,6,9.87,12.6,59.6,2.18,19.9,25.1,98.6,28.8,0.225,101,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,6.3,10.3,13.1,61.3,2.16,20.4,25.9,102,29.6,0.224,97.2,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,8,12.5,16,69.1,2.08,23,30.3,118,33.4,0.219,79.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 70,70,3,6.24,7.94,59,2.72,16.9,19.9,92.2,24.8,0.272,160,,,,,,,,,,,,,,,,,,,,,,,,
b = 70,70,4,8.15,10.4,74.6,2.68,21.3,25.5,118,31.2,0.27,123,,,,,,,,,,,,,,,,,,,,,,,,
b = 70,70,5,9.99,12.7,88.3,2.63,25.2,30.7,142,36.8,0.267,100,,,,,,,,,,,,,,,,,,,,,,,,
b = 70,70,6,11.8,15,100,2.59,28.6,35.5,163,41.6,0.265,85.1,,,,,,,,,,,,,,,,,,,,,,,,
b = 70,70,6.3,12.3,15.6,103,2.57,29.6,36.8,169,42.9,0.264,81.5,,,,,,,,,,,,,,,,,,,,,,,,
b = 70,70,8,15,19.2,119,2.49,34,43.7,200,49.2,0.259,66.5,,,,,,,,,,,,,,,,,,,,,,,,
b = 80,80,3,7.18,9.14,89.8,3.13,22.4,26.3,140,33,0.312,139,,,,,,,,,,,,,,,,,,,,,,,,
b = 80,80,4,9.41,12,114,3.09,28.6,34,180,41.9,0.31,106,,,,,,,,,,,,,,,,,,,,,,,,
b = 80,80,5,11.6,14.7,136,3.04,34.1,41.1,217,49.8,0.307,86.5,,,,,,,,,,,,,,,,,,,,,,,,
b = 80,80,6,13.6,17.4,156,3,39,47.7,252,56.8,0.305,73.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 80,80,6.3,14.2,18.1,161,2.98,40.4,49.6,262,58.7,0.304,70.2,,,,,,,,,,,,,,,,,,,,,,,,
b = 80,80,8,17.5,22.4,188,2.9,47.1,59.4,312,68.3,0.299,57,,,,,,,,,,,,,,,,,,,,,,,,
b = 90,90,4,10.7,13.6,166,3.5,36.9,43.6,260,54.2,0.35,93.7,,,,,,,,,,,,,,,,,,,,,,,,
b = 90,90,5,13.1,16.7,199,3.45,44.3,53,316,64.8,0.347,76.1,,,,,,,,,,,,,,,,,,,,,,,,
b = 90,90,6,15.5,19.8,229,3.41,51,61.7,367,74.3,0.345,64.4,,,,,,,,,,,,,,,,,,,,,,,,
b = 90,90,6.3,16.2,20.7,238,3.39,52.8,64.3,382,77,0.344,61.6,,,,,,,,,,,,,,,,,,,,,,,,
b = 90,90,8,20.1,25.6,281,3.31,62.3,77.5,459,90.5,0.339,49.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,4,11.9,15.2,232,3.91,46.3,54.4,361,68.2,0.39,83.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,5,14.7,18.7,279,3.86,55.8,66.3,439,81.8,0.387,68,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,6,17.4,22.2,323,3.82,64.5,77.6,513,94.3,0.385,57.5,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,6.3,18.2,23.2,335,3.8,67,80.8,534,97.8,0.384,54.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,8,22.6,28.8,399,3.72,79.7,98.1,646,116,0.379,44.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,10,27.4,34.9,460,3.63,92,116,761,133,0.374,36.5,,,,,,,,,,,,,,,,,,,,,,,,
b = 120,120,5,17.8,22.7,497,4.68,82.9,97.6,777,122,0.467,56,,,,,,,,,,,,,,,,,,,,,,,,
b = 120,120,6,21.2,27,579,4.63,96.5,115,911,141,0.465,47.2,,,,,,,,,,,,,,,,,,,,,,,,
b = 120,120,6.3,22.2,28.2,602,4.62,100,120,950,147,0.464,45.1,,,,,,,,,,,,,,,,,,,,,,,,
b = 120,120,8,27.6,35.2,725,4.54,121,146,1160,176,0.459,36.2,,,,,,,,,,,,,,,,,,,,,,,,
b = 120,120,10,33.7,42.9,850,4.45,142,175,1382,206,0.454,29.7,,,,,,,,,,,,,,,,,,,,,,,,
b = 120,120,12,39.5,50.3,954,4.36,159,200,1578,230,0.449,25.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 120,120,12.5,40.9,52.1,977,4.33,163,206,1623,236,0.448,24.5,,,,,,,,,,,,,,,,,,,,,,,,
b = 140,140,5,21,26.7,807,5.49,115,135,1253,170,0.547,47.7,,,,,,,,,,,,,,,,,,,,,,,,
b = 140,140,6,24.9,31.8,944,5.45,135,159,1475,198,0.545,40.1,,,,,,,,,,,,,,,,,,,,,,,,
b = 140,140,6.3,26.1,33.3,983,5.44,140,166,1540,206,0.544,38.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 140,140,8,32.6,41.6,1194,5.36,171,204,1892,249,0.539,30.7,,,,,,,,,,,,,,,,,,,,,,,,
b = 140,140,10,40,50.9,1413,5.27,202,246,2272,294,0.534,25,,,,,,,,,,,,,,,,,,,,,,,,
b = 140,140,12,47,59.9,1604,5.17,229,284,2616,333,0.529,21.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 140,140,12.5,48.7,62.1,1647,5.15,235,293,2696,342,0.528,20.5,,,,,,,,,,,,,,,,,,,,,,,,
b = 150,150,5,22.6,28.7,1001,5.9,133,156,1550,197,0.587,44.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 150,150,6,26.8,34.2,1173,5.86,156,184,1828,230,0.585,37.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 150,150,6.3,28.1,35.8,1223,5.84,163,192,1909,240,0.584,35.6,,,,,,,,,,,,,,,,,,,,,,,,
b = 150,150,8,35.1,44.8,1489,5.77,199,237,2351,291,0.579,28.5,,,,,,,,,,,,,,,,,,,,,,,,
b = 150,150,10,43.1,54.9,1770,5.68,236,286,2832,344,0.574,23.2,,,,,,,,,,,,,,,,,,,,,,,,
b = 150,150,12,50.8,64.7,2018,5.58,269,331,3272,391,0.569,19.7,,,,,,,,,,,,,,,,,,,,,,,,
b = 150,150,12.5,52.7,67.1,2074,5.56,277,342,3375,402,0.568,19,,,,,,,,,,,,,,,,,,,,,,,,
b = 150,150,16,65.2,83,2418,5.4,322,410,4026,467,0.559,15.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 160,160,5,24.1,30.7,1224,6.31,153,178,1892,226,0.627,41.5,,,,,,,,,,,,,,,,,,,,,,,,
b = 160,160,6,28.7,36.6,1436,6.27,180,210,2233,264,0.625,34.8,,,,,,,,,,,,,,,,,,,,,,,,
b = 160,160,6.3,30.1,38.3,1498,6.25,187,220,2333,275,0.624,33.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 160,160,8,37.6,48,1830,6.18,229,272,2880,335,0.619,26.6,,,,,,,,,,,,,,,,,,,,,,,,
b = 160,160,10,46.3,58.9,2182,6.09,273,329,3478,398,0.614,21.6,,,,,,,,,,,,,,,,,,,,,,,,
b = 160,160,12,54.6,69.5,2497,5.99,312,382,4028,454,0.609,18.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 160,160,12.5,56.6,72.1,2569,5.97,321,394,4158,467,0.608,17.7,,,,,,,,,,,,,,,,,,,,,,,,
b = 160,160,16,70.2,89.4,3015,5.81,377,475,4988,546,0.599,14.2,,,,,,,,,,,,,,,,,,,,,,,,
b = 180,180,5,27.3,34.7,1765,7.13,196,227,2718,290,0.707,36.7,,,,,,,,,,,,,,,,,,,,,,,,
b = 180,180,6,32.5,41.4,2076,7.08,231,269,3215,340,0.705,30.8,,,,,,,,,,,,,,,,,,,,,,,,
b = 180,180,6.3,34,43.3,2167,7.07,241,281,3361,355,0.704,29.4,,,,,,,,,,,,,,,,,,,,,,,,
b = 180,180,8,42.7,54.4,2659,6.99,295,349,4162,434,0.699,23.4,,,,,,,,,,,,,,,,,,,,,,,,
b = 180,180,10,52.5,66.9,3190,6.9,354,424,5048,518,0.694,19,,,,,,,,,,,,,,,,,,,,,,,,
b = 180,180,12,62.1,79.1,3670,6.81,408,494,5873,595,0.689,16.1,,,,,,,,,,,,,,,,,,,,,,,,
b = 180,180,12.5,64.4,82.1,3783,6.79,420,511,6070,613,0.688,15.5,,,,,,,,,,,,,,,,,,,,,,,,
b = 180,180,16,80.2,102,4489,6.63,499,620,7343,724,0.679,12.5,,,,,,,,,,,,,,,,,,,,,,,,
b = 200,200,5,30.4,38.7,2445,7.95,244,282,3756,362,0.787,32.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 200,200,6,36.2,46.2,2882,7.9,288,335,4449,426,0.785,27.6,,,,,,,,,,,,,,,,,,,,,,,,
b = 200,200,6.3,38,48.4,3010,7.89,301,350,4653,444,0.784,26.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 200,200,8,47.7,60.8,3707,7.81,371,435,5778,545,0.779,21,,,,,,,,,,,,,,,,,,,,,,,,
b = 200,200,10,58.8,74.9,4467,7.72,447,531,7031,655,0.774,17,,,,,,,,,,,,,,,,,,,,,,,,
b = 200,200,12,69.6,88.7,5164,7.63,516,621,8208,754,0.769,14.4,,,,,,,,,,,,,,,,,,,,,,,,
b = 200,200,12.5,72.3,92.1,5328,7.61,533,642,8491,778,0.768,13.8,,,,,,,,,,,,,,,,,,,,,,,,
b = 200,200,16,90.3,115,6377,7.45,638,785,10340,927,0.759,11.1,,,,,,,,,,,,,,,,,,,,,,,,
b = 220,220,6,40,51,3874,8.72,352,408,5963,521,0.865,25,,,,,,,,,,,,,,,,,,,,,,,,
b = 220,220,6.3,41.9,53.4,4048,8.7,368,427,6240,544,0.864,23.8,,,,,,,,,,,,,,,,,,,,,,,,
b = 220,220,8,52.7,67.2,4999,8.63,454,532,7765,669,0.859,19,,,,,,,,,,,,,,,,,,,,,,,,
b = 220,220,10,65.1,82.9,6046,8.54,550,650,9473,807,0.854,15.4,,,,,,,,,,,,,,,,,,,,,,,,
b = 220,220,12,77.2,98.3,7015,8.45,638,762,11091,933,0.849,13,,,,,,,,,,,,,,,,,,,,,,,,
b = 220,220,12.5,80.1,102,7245,8.43,659,789,11481,963,0.848,12.5,,,,,,,,,,,,,,,,,,,,,,,,
b = 220,220,16,100,128,8730,8.26,794,968,14054,1156,0.839,9.97,,,,,,,,,,,,,,,,,,,,,,,,
b = 250,250,6,45.7,58.2,5751,9.94,460,531,8825,681,0.985,21.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 250,250,6.3,47.9,61,6013,9.93,481,556,9238,712,0.984,20.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 250,250,8,60.3,76.8,7452,9.85,596,694,11525,880,0.979,16.6,,,,,,,,,,,,,,,,,,,,,,,,
b = 250,250,10,74.5,94.9,9050,9.76,724,850,14106,1065,0.974,13.4,,,,,,,,,,,,,,,,,,,,,,,,
b = 250,250,12,88.5,113,10546,9.67,844,1000,16567,1237,0.969,11.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 250,250,12.5,91.9,117,10905,9.65,872,1036,17164,1279,0.968,10.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 250,250,16,115,147,13245,9.49,1060,1279,21138,1546,0.959,8.67,,,,,,,,,,,,,,,,,,,,,,,,
b = 260,260,6,47.6,60.6,6490,10.4,499,576,9951,740,1.02,21,,,,,,,,,,,,,,,,,,,,,,,,
b = 260,260,6.3,49.9,63.5,6787,10.3,522,603,10417,773,1.02,20.1,,,,,,,,,,,,,,,,,,,,,,,,
b = 260,260,8,62.8,80,8420,10.3,648,753,13006,956,1.02,15.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 260,260,10,77.7,98.9,10237,10.2,787,923,15932,1159,1.01,12.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 260,260,12,92.2,117,11944,10.1,919,1087,18729,1348,1.01,10.8,,,,,,,,,,,,,,,,,,,,,,,,
b = 260,260,12.5,95.8,122,12354,10.1,950,1127,19409,1394,1.01,10.4,,,,,,,,,,,,,,,,,,,,,,,,
b = 260,260,16,120,153,15039,9.9,1157,1393,23942,1689,0.999,8.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 300,300,6,55.1,70.2,10078,12,672,772,15407,997,1.18,18.2,,,,,,,,,,,,,,,,,,,,,,,,
b = 300,300,6.3,57.8,73.6,10545,12,703,809,16136,1043,1.18,17.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 300,300,8,72.8,92.8,13125,11.9,875,1013,20194,1294,1.18,13.7,,,,,,,,,,,,,,,,,,,,,,,,
b = 300,300,10,90.2,115,16020,11.8,1068,1245,24807,1575,1.17,11.1,,,,,,,,,,,,,,,,,,,,,,,,
b = 300,300,12,107,137,18766,11.7,1251,1470,29249,1840,1.17,9.32,,,,,,,,,,,,,,,,,,,,,,,,
b = 300,300,12.5,112,142,19430,11.7,1295,1524,30333,1904,1.17,8.97,,,,,,,,,,,,,,,,,,,,,,,,
b = 300,300,16,141,179,23824,11.5,1588,1894,37622,2325,1.16,7.12,,,,,,,,,,,,,,,,,,,,,,,,
b = 350,350,8,85.4,109,21125,13.9,1207,1391,32384,1789,1.38,11.7,,,,,,,,,,,,,,,,,,,,,,,,
b = 350,350,10,106,135,25876,13.8,1479,1715,39886,2185,1.37,9.44,,,,,,,,,,,,,,,,,,,,,,,,
b = 350,350,12,126,161,30422,13.8,1738,2029,47154,2563,1.37,7.93,,,,,,,,,,,,,,,,,,,,,,,,
b = 350,350,12.5,131,167,31527,13.7,1802,2106,48934,2654,1.37,7.62,,,,,,,,,,,,,,,,,,,,,,,,
b = 350,350,16,166,211,38912,13.6,2224,2629,60990,3264,1.36,6.04,,,,,,,,,,,,,,,,,,,,,,,,
b = 400,400,10,122,155,39119,15.9,1956,2260,60092,2895,1.57,8.22,,,,,,,,,,,,,,,,,,,,,,,,
b = 400,400,12,145,185,46115,15.8,2306,2679,71181,3405,1.57,6.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 400,400,12.5,151,192,47822,15.8,2391,2782,73906,3530,1.57,6.63,,,,,,,,,,,,,,,,,,,,,,,,
b = 400,400,16,191,243,59310,15.6,2965,3484,92442,4362,1.56,5.24,,,,,,,,,,,,,,,,,,,,,,,,
b = 400,400,20,235,300,71468,15.4,3573,4245,112489,5237,1.55,4.25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrati a freddo,b ,t ,M ,A ,I ,i ,Wel ,Wpl ,It ,Ct ,Sup. est.,L per ton,,,,,,,,,,,,,,,,,,,,,,,,
,[mm] ,[mm] ,[kg/m] ,[cm2],[cm4] ,[cm] ,[cm3] ,[cm3] ,[cm4] ,[cm3] ,[m2/m] ,[m/t] ,,,,,,,,,,,,,,,,,,,,,,,,
,400,12,141,180,44204,15.7,2210,2584,71843,3395,1.54,7.07,140,,,,,,,,,,,,,,,,,,,,,,,
b = 20,20,2,1.05,1.34,0.681,0.714,0.681,0.87,1.21,1.06,0.073,953,,,,,,,,,,,,,,,,,,,,,,,,
b = 25,25,2,1.36,1.74,1.47,0.92,1.18,1.46,2.53,1.8,0.093,733,,,,,,,,,,,,,,,,,,,,,,,,
b = 25,25,2.5,1.64,2.09,1.66,0.892,1.33,1.7,2.97,2.07,0.091,610,,,,,,,,,,,,,,,,,,,,,,,,
b = 25,25,3,1.89,2.41,1.79,0.863,1.43,1.89,3.33,2.27,0.09,529,,,,,,,,,,,,,,,,,,,,,,,,
b = 30,30,2,1.68,2.14,2.7,1.12,1.8,2.2,4.54,2.75,0.113,596,,,,,,,,,,,,,,,,,,,,,,,,
b = 30,30,2.5,2.03,2.59,3.12,1.1,2.08,2.6,5.4,3.2,0.111,492,,,,,,,,,,,,,,,,,,,,,,,,
b = 30,30,3,2.36,3.01,3.45,1.07,2.3,2.94,6.15,3.58,0.11,423,,,,,,,,,,,,,,,,,,,,,,,,
b = 40,40,2,2.31,2.94,6.92,1.53,3.46,4.13,11.3,5.23,0.153,434,,,,,,,,,,,,,,,,,,,,,,,,
b = 40,40,2.5,2.82,3.59,8.17,1.51,4.08,4.95,13.6,6.21,0.151,355,,,,,,,,,,,,,,,,,,,,,,,,
b = 40,40,3,3.3,4.21,9.24,1.48,4.62,5.7,15.8,7.07,0.15,303,,,,,,,,,,,,,,,,,,,,,,,,
b = 40,40,4,4.2,5.35,10.9,1.43,5.45,6.97,19.4,8.48,0.146,238,,,,,,,,,,,,,,,,,,,,,,,,
b = 50,50,2,2.93,3.74,14.1,1.94,5.65,6.66,22.6,8.51,0.193,341,,,,,,,,,,,,,,,,,,,,,,,,
b = 50,50,2.5,3.6,4.59,16.9,1.92,6.75,8.06,27.5,10.2,0.191,278,,,,,,,,,,,,,,,,,,,,,,,,
b = 50,50,3,4.25,5.41,19.4,1.89,7.75,9.37,32.1,11.8,0.19,236,,,,,,,,,,,,,,,,,,,,,,,,
b = 50,50,4,5.45,6.95,23.5,1.84,9.4,11.7,40.4,14.4,0.186,183,,,,,,,,,,,,,,,,,,,,,,,,
b = 50,50,5,6.56,8.36,26.6,1.78,10.6,13.6,47.5,16.6,0.183,152,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,2,3.56,4.54,25.1,2.35,8.37,9.78,39.8,12.6,0.233,281,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,2.5,4.39,5.59,30.3,2.33,10.1,11.9,48.7,15.2,0.231,228,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,3,5.19,6.61,35,2.3,11.7,13.9,57.1,17.7,0.23,193,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,4,6.71,8.55,43.3,2.25,14.4,17.6,72.6,22,0.226,149,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,5,8.13,10.4,50,2.2,16.7,20.8,86.4,25.6,0.223,123,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,6,9.45,12,55.1,2.14,18.4,23.5,98.4,28.6,0.219,106,,,,,,,,,,,,,,,,,,,,,,,,
b = 60,60,6.3,9.55,12.2,52.8,2.08,17.6,23.1,100,28.8,0.213,105,,,,,,,,,,,,,,,,,,,,,,,,
b = 70,70,2.5,5.17,6.59,49.3,2.74,14.1,16.5,78.5,21.2,0.271,193,,,,,,,,,,,,,,,,,,,,,,,,
b = 70,70,3,6.13,7.81,57.4,2.71,16.4,19.4,92.4,24.7,0.27,163,,,,,,,,,,,,,,,,,,,,,,,,
b = 70,70,4,7.97,10.1,71.8,2.66,20.5,24.7,119,31.1,0.266,126,,,,,,,,,,,,,,,,,,,,,,,,
b = 70,70,5,9.7,12.4,84,2.61,24,29.5,142,36.7,0.263,103,,,,,,,,,,,,,,,,,,,,,,,,
b = 70,70,6,11.3,14.4,94.1,2.55,26.9,33.7,163,41.4,0.259,88.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 70,70,6.3,11.5,14.7,91.8,2.5,26.2,33.5,168,42.1,0.253,86.7,,,,,,,,,,,,,,,,,,,,,,,,
b = 80,80,3,7.07,9.01,87.7,3.12,21.9,25.8,140,33,0.31,141,,,,,,,,,,,,,,,,,,,,,,,,
b = 80,80,4,9.22,11.7,111,3.07,27.7,33,180,41.8,0.306,108,,,,,,,,,,,,,,,,,,,,,,,,
b = 80,80,5,11.3,14.4,131,3.02,32.7,39.6,218,49.7,0.303,88.7,,,,,,,,,,,,,,,,,,,,,,,,
b = 80,80,6,13.2,16.8,148,2.96,37,45.6,252,56.6,0.299,75.7,,,,,,,,,,,,,,,,,,,,,,,,
b = 80,80,6.3,13.5,17.2,146,2.92,36.6,45.8,261,57.9,0.293,74,,,,,,,,,,,,,,,,,,,,,,,,
b = 80,80,8,16.4,20.8,164,2.8,41,53.3,307,66.6,0.286,61.1,,,,,,,,,,,,,,,,,,,,,,,,
b = 90,90,3,8.01,10.2,127,3.53,28.2,33,201,42.5,0.35,125,,,,,,,,,,,,,,,,,,,,,,,,
b = 90,90,4,10.5,13.3,161,3.48,35.9,42.5,261,54.2,0.346,95.4,,,,,,,,,,,,,,,,,,,,,,,,
b = 90,90,5,12.8,16.4,192,3.43,42.7,51.3,316,64.7,0.343,77.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 90,90,6,15.1,19.2,219,3.37,48.7,59.4,368,74.2,0.339,66.2,,,,,,,,,,,,,,,,,,,,,,,,
b = 90,90,6.3,15.5,19.7,219,3.33,48.6,60,382,76.2,0.333,64.6,,,,,,,,,,,,,,,,,,,,,,,,
b = 90,90,8,18.9,24,250,3.22,55.4,70.7,456,88.8,0.326,53,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,3,8.96,11.4,177,3.94,35.4,41.2,279,53.2,0.39,112,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,4,11.7,14.9,226,3.89,45.2,53.2,362,68.1,0.386,85.2,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,5,14.4,18.4,270,3.84,54,64.5,441,81.7,0.383,69.4,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,6,17,21.6,310,3.78,62,74.9,514,94.1,0.379,58.9,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,6.3,17.5,22.2,311,3.74,62.3,76.1,536,97,0.373,57.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,8,21.4,27.2,360,3.64,72,90.4,645,114,0.366,46.8,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,10,25.6,32.6,400,3.51,80,104,750,130,0.357,39.1,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,12,28.3,36.1,382,3.26,76.4,107,794,136,0.338,35.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 100,100,12.5,29.1,37,381,3.21,76.3,108,804,137,0.336,34.4,,,,,,,,,,,,,,,,,,,,,,,,
b = 120,120,3,10.8,13.8,312,4.75,52,60.2,488,78.2,0.47,92.3,,,,,,,,,,,,,,,,,,,,,,,,
b = 120,120,4,14.2,18.1,402,4.7,67,78.3,637,101,0.466,70.2,,,,,,,,,,,,,,,,,,,,,,,,
b = 120,120,5,17.5,22.4,484,4.65,80.7,95.4,778,122,0.463,57,,,,,,,,,,,,,,,,,,,,,,,,
b = 120,120,6,20.7,26.4,560,4.6,93.4,111,913,141,0.459,48.2,,,,,,,,,,,,,,,,,,,,,,,,
